model,layer,matrix,calib,hessian,n_calib_tokens,dim,sink_pos,sink_pos_deploy,sink_tokens,xnorm_sink,xnorm_template,lambda_1,lambda_2,lam1_over_lam2,trace,R1_trace,R1_frob,cos_v1_sink,L_sink,L_template,L_ratio,amp_sink,amp_template,pred_ratio_template,cos_pred_template,percdamp,n_deploy,tokens_csv
Qwen/Qwen2.5-14B-Instruct,4,down_proj,c4chat,full,58100,13824,0|2,0|2,<|im_start|>|Ċ,52.228,12.155,19.4408,7.00456,2.77545,148.988,0.130485,0.836212,0.873707,0.378438,0.343472,0.907605,0.0126,0.0708,0.973,0.9965,0.05,64,roy_run/comp_residual_q_c4chat.tokens.csv
Qwen/Qwen2.5-14B-Instruct,4,down_proj,c4chat,sink_removed,58100,13824,0|2,0|2,<|im_start|>|Ċ,52.228,12.155,3.04632,1.82555,1.66872,123.182,0.02473,0.36228,0.001914,4602.94,0.293374,6.37362e-05,1.1548,0.0654,0.9751,0.997,0.05,64,roy_run/comp_residual_q_c4chat.tokens.csv
