model,layer,matrix,calib,hessian,n_calib_tokens,dim,sink_pos,sink_pos_deploy,sink_tokens,xnorm_sink,xnorm_template,lambda_1,lambda_2,lam1_over_lam2,trace,R1_trace,R1_frob,cos_v1_sink,L_sink,L_template,L_ratio,amp_sink,amp_template,pred_ratio_template,cos_pred_template,percdamp,n_deploy,tokens_csv
mistralai/Mistral-7B-Instruct-v0.3,1,down_proj,c4,full,59866,14336,0,0|1,<s>|<s>,798.84,1.978,2968.24,201.56,14.7263,3172.52,0.935609,0.99541,0.99682,26.7088,27.4153,1.02645,0.0065,2.011,1.588,-0.0028,0.05,64,runs/comp_residual_m_c4.tokens.csv
mistralai/Mistral-7B-Instruct-v0.3,1,down_proj,c4,sink_removed,59866,14336,0,0|1,<s>|<s>,798.84,1.978,440.233,0.73442,599.43,443.672,0.992249,0.999997,0.709274,960714,6.18509,6.43802e-06,1.227,1.11,0.4803,0.1766,0.05,64,runs/comp_residual_m_c4.tokens.csv
