model,layer,matrix,calib,hessian,n_calib_tokens,dim,sink_pos,sink_pos_deploy,sink_tokens,xnorm_sink,xnorm_template,lambda_1,lambda_2,lam1_over_lam2,trace,R1_trace,R1_frob,cos_v1_sink,L_sink,L_template,L_ratio,amp_sink,amp_template,pred_ratio_template,cos_pred_template,percdamp,n_deploy,tokens_csv
mistralai/Mistral-7B-Instruct-v0.3,1,down_proj,c4chat,full,60238,14336,0|1,0|1,<s>|<s>,798.84,1.834,6003.85,415.561,14.4476,6421.54,0.934956,0.995232,0.996034,20.1249,35.5463,1.76628,0.0056,1.9659,1.5662,-0.006,0.05,64,runs/comp_residual_m_c4chat.tokens.csv
mistralai/Mistral-7B-Instruct-v0.3,1,down_proj,c4chat,sink_removed,60238,14336,0|1,0|1,<s>|<s>,798.84,1.834,994.379,1.05335,944.018,997.54,0.996831,0.999999,0.733598,911599,3.54118,3.88458e-06,1.1952,0.9903,0.3703,0.2516,0.05,64,runs/comp_residual_m_c4chat.tokens.csv
