model,layer,matrix,calib,hessian,n_calib_tokens,dim,sink_pos,sink_pos_deploy,sink_tokens,xnorm_sink,xnorm_template,lambda_1,lambda_2,lam1_over_lam2,trace,R1_trace,R1_frob,cos_v1_sink,L_sink,L_template,L_ratio,amp_sink,amp_template,pred_ratio_template,cos_pred_template,percdamp,n_deploy,tokens_csv
Qwen/Qwen2.5-14B-Instruct,4,down_proj,c4,full,54475,13824,0,0|2,<|im_start|>|Ċ,7569.184,9.556,269280,106.718,2523.29,269533,0.999062,1.0,1.0,117183,507.153,0.00432785,4.234,1.9768,1.5904,0.0096,0.05,64,roy_run/comp_residual_q_c4.tokens.csv
Qwen/Qwen2.5-14B-Instruct,4,down_proj,c4,sink_removed,54475,13824,0,0|2,<|im_start|>|Ċ,7569.184,9.556,1.71399,0.562721,3.0459,124.791,0.013735,0.239103,0.002112,8466.62,521.679,0.061616,1.8883,1.3526,1.0892,0.2148,0.05,64,roy_run/comp_residual_q_c4.tokens.csv
